total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,algorithm,seed,mean_delay_seconds,travel_time_proxy_seconds,mean_queue,duration_seconds,scenario,episode,policy_label
64,4,312,16.0,,122.5,independent_full_rl,Independent Learner - Full RL,41,2.080128,122.080128,1.081667,600,scenario1_low_demand,34,Independent Learner - Full RL
44,4,291,11.0,,122.5,independent_full_rl,Independent Learner - Full RL,42,1.996564,121.996564,0.968333,600,scenario1_low_demand,35,Independent Learner - Full RL
53,4,317,13.25,,122.5,independent_full_rl,Independent Learner - Full RL,43,1.817035,121.817035,0.96,600,scenario1_low_demand,36,Independent Learner - Full RL
47,4,330,11.75,,125.0,independent_full_rl,Independent Learner - Full RL,44,1.963636,121.963636,1.08,600,scenario1_low_demand,37,Independent Learner - Full RL
43,4,307,10.75,,120.0,independent_full_rl,Independent Learner - Full RL,45,1.889251,121.889251,0.966667,600,scenario1_low_demand,38,Independent Learner - Full RL
69,4,329,17.25,,122.5,independent_full_rl,Independent Learner - Full RL,46,1.826748,121.826748,1.001667,600,scenario1_low_demand,39,Independent Learner - Full RL
41,4,306,10.25,,122.5,independent_full_rl,Independent Learner - Full RL,47,2.133987,122.133987,1.088333,600,scenario1_low_demand,40,Independent Learner - Full RL
54,4,293,13.5,,122.5,independent_full_rl,Independent Learner - Full RL,48,2.017065,122.017065,0.985,600,scenario1_low_demand,41,Independent Learner - Full RL
65,4,334,16.25,,122.5,independent_full_rl,Independent Learner - Full RL,49,1.841317,121.841317,1.025,600,scenario1_low_demand,42,Independent Learner - Full RL
55,4,281,13.75,,122.5,independent_full_rl,Independent Learner - Full RL,50,2.128114,122.128114,0.996667,600,scenario1_low_demand,43,Independent Learner - Full RL
55,4,300,13.75,,122.5,independent_full_rl,Independent Learner - Full RL,51,2.04,122.04,1.02,600,scenario1_low_demand,44,Independent Learner - Full RL
52,4,306,13.0,,122.5,independent_full_rl,Independent Learner - Full RL,52,2.0,122.0,1.02,600,scenario1_low_demand,45,Independent Learner - Full RL
47,4,304,11.75,,120.0,independent_full_rl,Independent Learner - Full RL,53,2.039474,122.039474,1.033333,600,scenario1_low_demand,46,Independent Learner - Full RL
45,4,304,11.25,,125.0,independent_full_rl,Independent Learner - Full RL,54,1.953947,121.953947,0.99,600,scenario1_low_demand,47,Independent Learner - Full RL
48,4,316,12.0,,122.5,independent_full_rl,Independent Learner - Full RL,55,1.927215,121.927215,1.015,600,scenario1_low_demand,48,Independent Learner - Full RL
53,4,307,13.25,,122.5,independent_full_rl,Independent Learner - Full RL,56,2.459283,122.459283,1.258333,600,scenario1_low_demand,49,Independent Learner - Full RL
51,4,308,12.75,,120.0,independent_full_rl,Independent Learner - Full RL,57,2.512987,122.512987,1.29,600,scenario1_low_demand,50,Independent Learner - Full RL
50,4,287,12.5,,120.0,independent_full_rl,Independent Learner - Full RL,58,1.860627,121.860627,0.89,600,scenario1_low_demand,51,Independent Learner - Full RL
49,4,275,12.25,,122.5,independent_full_rl,Independent Learner - Full RL,59,3.2,123.2,1.466667,600,scenario1_low_demand,52,Independent Learner - Full RL
56,4,282,14.0,,122.5,independent_full_rl,Independent Learner - Full RL,60,3.163121,123.163121,1.486667,600,scenario1_low_demand,53,Independent Learner - Full RL
64,4,321,16.0,,122.5,independent_full_rl,Independent Learner - Full RL,61,2.535826,122.535826,1.356667,600,scenario1_low_demand,54,Independent Learner - Full RL
57,4,289,14.25,,125.0,independent_full_rl,Independent Learner - Full RL,62,1.927336,121.927336,0.928333,600,scenario1_low_demand,55,Independent Learner - Full RL
60,4,308,15.0,,122.5,independent_full_rl,Independent Learner - Full RL,63,3.003247,123.003247,1.541667,600,scenario1_low_demand,56,Independent Learner - Full RL
57,4,316,14.25,,127.5,independent_full_rl,Independent Learner - Full RL,64,3.047468,123.047468,1.605,600,scenario1_low_demand,57,Independent Learner - Full RL
50,4,315,12.5,,125.0,independent_full_rl,Independent Learner - Full RL,65,1.634921,121.634921,0.858333,600,scenario1_low_demand,58,Independent Learner - Full RL
54,4,307,13.5,,120.0,independent_full_rl,Independent Learner - Full RL,66,1.977199,121.977199,1.011667,600,scenario1_low_demand,59,Independent Learner - Full RL
24,4,321,6.0,,147.5,independent_qplf,Independent Learner - QPLF,7,16.330218,136.330218,8.736667,600,scenario1_low_demand,0,Independent Learner - QPLF
54,4,304,13.5,,125.0,independent_qplf,Independent Learner - QPLF,8,5.680921,125.680921,2.878333,600,scenario1_low_demand,1,Independent Learner - QPLF
20,4,309,5.0,,182.5,independent_qplf,Independent Learner - QPLF,9,22.954693,142.954693,11.821667,600,scenario1_low_demand,2,Independent Learner - QPLF
36,4,296,9.0,,135.0,independent_qplf,Independent Learner - QPLF,10,15.283784,135.283784,7.54,600,scenario1_low_demand,3,Independent Learner - QPLF
31,4,296,7.75,,142.5,independent_qplf,Independent Learner - QPLF,11,12.594595,132.594595,6.213333,600,scenario1_low_demand,4,Independent Learner - QPLF
25,4,285,6.25,,120.0,independent_qplf,Independent Learner - QPLF,12,19.768421,139.768421,9.39,600,scenario1_low_demand,5,Independent Learner - QPLF
21,4,285,5.25,,137.5,independent_qplf,Independent Learner - QPLF,13,19.115789,139.115789,9.08,600,scenario1_low_demand,6,Independent Learner - QPLF
20,4,308,5.0,,145.0,independent_qplf,Independent Learner - QPLF,14,17.487013,137.487013,8.976667,600,scenario1_low_demand,7,Independent Learner - QPLF
23,4,277,5.75,,147.5,independent_qplf,Independent Learner - QPLF,15,20.245487,140.245487,9.346667,600,scenario1_low_demand,8,Independent Learner - QPLF
19,4,308,4.75,,137.5,independent_qplf,Independent Learner - QPLF,16,25.347403,145.347403,13.011667,600,scenario1_low_demand,9,Independent Learner - QPLF
18,4,275,4.5,,142.5,independent_qplf,Independent Learner - QPLF,17,26.967273,146.967273,12.36,600,scenario1_low_demand,10,Independent Learner - QPLF
19,4,276,4.75,,167.5,independent_qplf,Independent Learner - QPLF,18,23.257246,143.257246,10.698333,600,scenario1_low_demand,11,Independent Learner - QPLF
