scenario,policy,eval_episodes,platoon_progression_percentage,platoon_progression_note,mean_average_travel_time_seconds,mean_total_stop_events,mean_observed_vehicles,mean_completed_vehicles,mean_average_stops_per_observed_vehicle,mean_reward,mean_mean_queue
scenario1_low_demand,semi_coordinated_rl,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",121.0,21.6,4.0,314.8,5.4,-174.0,0.29
scenario1_low_demand,independent_rl_local,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",153.5,32.2,4.0,301.8,8.05,-2982.0,4.97
scenario1_low_demand,independent_fixed_ns,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",575.25,2.0,4.0,133.1,0.5,-54539.4,90.899
scenario1_low_demand,cyclic_queue_backpressure,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",121.25,25.2,4.0,314.7,6.3,-208.5,0.3475
scenario2_high_demand,semi_coordinated_rl,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",126.5,136.2,4.0,818.0,34.05,-1347.0,2.245
scenario2_high_demand,independent_rl_local,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",379.75,107.4,4.0,716.7,26.85,-20619.3,34.3655
scenario2_high_demand,independent_fixed_ns,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",1220.25,2.0,4.0,380.5,0.5,-132026.7,220.0445
scenario2_high_demand,cyclic_queue_backpressure,10,,"undefined: deterministic fallback has aggregate queues, not vehicle IDs/corridor crossings",124.5,130.8,4.0,818.8,32.7,-1056.4,1.760667
