scenario,eta,eval_episodes,mean_travel_time_proxy_seconds,mean_mean_delay_seconds,mean_average_travel_time_seconds,mean_completed_vehicles,mean_total_stop_events,mean_average_stops_per_observed_vehicle,mean_mean_queue,mean_cycles
scenario1_low_demand,0.05,10,120.410111,0.410111,159.5,320.2,31.8,7.95,16.425,8.0
scenario2_high_demand,0.001,10,123.641591,3.641591,1083.0,497.5,5.0,1.25,226.425,8.0
