episode,reward,total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds
0,-486.0,100,4,471,25.0,,122.5
1,-515.0,87,4,471,21.75,,122.5
